WTKT116352/675,5600,2800,50%
JWTKT127436/419,3100,1860,40%
JWTKT120718/119,3300,1980,40%
JWTKT120719/119,3300,1650,50%
JWTKT100590/009,5400,2700,50%
JWFST113090/499,10800,5400,50%
JWFKT100803/422,4400,2200,50%
JWFKT100803/602,4400,2200,50%
JWFKT100803/688,4400,2200,50%
JWTKT120716/453,3900,1950,50%
JWTKT120893/419,3900,1950,50%
WFKT119048/410,6300,3150,50%
JWTKT100590/950,4300,2150,50%
JWFKT100393/308,3700,1850,50%
WTKB116624/449,8100,4050,50%
JWTKB100596/950,4300,2150,50%
WTKB116252/049,9900,4950,50%
JWTKB100596/009,6100,3050,50%
JWFKT86074/119,4300,1720,60%
JWTKT127050/049,3100,1550,50%
JWTKJ122377/959,7900,3950,50%
JWTKJ120898/419,5600,2800,50%
JWFWR120543/742,9500,4750,50%
JWFWD120549/436,8500,4250,50%
JWTKT120843/419,4200,2100,50%
JWTKB126809/407,4200,2100,50%
JWTKB122378/959,4200,2100,50%
JWFWB121219/493,5600,2800,50%
JWFWB120553/420,5600,2800,50%
WFWD116569/139,26800,13400,50%
JWTKT120709/009,3900,1950,50%
WHB117695/419,14900,7450,50%
JWFWB120524/457,6600,3300,50%
JWFWB120522/457,8500,4250,50%
WFWT116540/107,13800,6900,50%
WFWB117016/410,9100,4550,50%
JWTKB120782/611,5900,2950,50%
WFWD116583/622,16300,8150,50%
WFWD116524/628,31300,15650,50%
WFKD116601/140,31400,15700,50%
WFKT122145/119,6650,3325,50%
WTWJ116546/150,13600,6800,50%
WFSJ117254/009,15500,7750,50%
WFWB116431/657,18200,9100,50%
WFSB121983/130,13900,6950,50%
WFWD137559/115,14800,7400,50%
WTWB116550/109,11900,5950,50%
WFWB100853/413,17500,8750,50%
JWFWJ122198/987,13400,6700,50%
WTKJ138120/449,9900,4950,50%
JWFWB101087/459,7500,3750,50%
JWTKT100790/479,8700,4350,50%
WTKD100015/009,14850,7425,50%
JWFST101070/455,10800,5400,50%
JWFST101070/055,10800,5400,50%
JWFKT110164/455,3300,1650,50%
WTKB115125/009,9900,3960,60%
JWFKT86050/100,4500,2250,50%
JWFKT86040/009,4500,2250,50%
JWFKT86036/009,3900,1560,60%
WTKJ85980/979,19900,7960,60%
WFWJ85657/415,28900,7225,75%
JWFWJ86460/467,15300,6885,55%
WTKT96408/114,11900,3570,70%
WFWB93605/488,27900,8370,70%
WFKD89371/419,14900,7450,50%
WFWB85656/415,27900,8370,70%
WTKD68023/009,12900,5160,60%
WJW85/GOLD,7840,3920,50%
WJW603/710,7520,3760,50%
WJW575/622,6400,3200,50%
WJW575/533,6400,3200,50%
WJW575/463,6400,3200,50%
WJW64/GOLD,14950,7475,50%
WJW57529/712,6990,3495,50%
JWFKT110164/055,3300,1650,50%
JWFST85755/967,9900,3465,65%
WHB789/009,16600,4980,70%
WHB524/437,21990,6597,70%
JWTKT120843/119,4200,2100,50%
JWTKJ126804/407,6600,3300,50%
JWTKB111721/950,5100,2550,50%
JWTKT100790/681,8700,4350,50%
JWFWB71108/428,6990,3495,50%
JWFWB86195/421,9900,3960,60%
JWTKB89268/049,5500,2475,55%
JWFST85744/417,10900,2180,80%
JWFWB71884/468,6490,3245,50%
JWFWB71097/103,6490,3245,50%
JWFWB71080/007,5490,2745,50%
WFWB52910/003,21990,7697,65%
WFWB32244/009,16835,6734,60%
WFWB52910/651,21990,7697,65%
WFWB65318/136,17900,6265,65%
WFWB71910/180,17900,7160,60%
WFWB28576/401,13900,4865,65%
WFWB65319/973,17900,7160,60%
WFKB52720/652,11990,4197,65%
WFKJ57687/009,36490,7298,80%
WFST85789/962,23900,7170,70%
WFST57843/975,29990,5998,80%
WTKT103090/238,9900,2970,70%
WTKT82859/009,9900,2970,70%
WTKT82859/419,9900,2970,70%
WFST85787/962,19900,5970,70%
WFWJ52856/687,25990,10396,60%
WFST53129/507,29990,10497,65%
WFST53131/665,29990,8997,70%
WFST53136/671,29990,8997,70%
WFST53145/419,29990,10497,65%
JWTKT121065/049,5600,2800,50%
WTKJ138120/419,9900,4950,50%
WTWJ116546/974,13600,6800,50%
